Year,Brighton Town PD,Brockport Vg PD,East Rochester Vg PD,Fairport Vg PD,Gates Town PD,Greece Town PD,Irondequoit Town PD,Monroe County Park PD,Monroe County Sheriff,Monroe County State Police,Ogden Town PD,Rochester City PD,Webster Town and Vg PD
2018,645,97,107,23,879,2229,1013,4,2410,99,203,8651,396
2017,808,107,92,49,901,2110,1231,1,3034,83,223,9807,443
2016,825,131,126,51,988,2299,903,3,2891,74,292,9658,470
2015,801,159,120,37,1037,2613,1447,4,3334,74,209,10107,528
2014,879,138,86,52,1096,2577,1487,10,3475,113,258,10546,519
2013,822,190,133,58,1108,2457,1447,21,3774,82,225,12160,491
2012,962,156,136,42,1301,2682,1710,9,4145,92,241,13361,495
2011,989,169,151,67,1213,2680,1621,7,3850,78,269,13988,482
2010,1097,200,140,41,983,2670,1574,8,4161,89,396,14212,551
2009,1247,189,144,65,1160,2710,1593,14,4466,81,368,13155,587
2008,1019,209,197,65,1001,2426,1471,11,3979,81,273,13432,591
2007,999,197,151,60,1122,2272,1648,8,4121,110,233,13627,622
2006,1085,177,154,67,1113,2419,1711,5,4169,98,366,15665,646
2005,1069,158,172,59,1103,2055,1837,21,4305,53,348,16017,581
2004,1108,183,159,88,1186,2420,2062,7,5475,74,336,17240,605
2003,986,258,183,74,1250,2370,2151,7,5581,50,406,17742,628
2002,1032,229,202,71,1172,2404,2294,10,5190,54,390,16911,584
2001,1130,265,214,76,1118,2432,2321,17,5468,54,368,16114,656
2000,1155,274,209,70,1187,2700,2566,8,5549,80,415,17064,657
1999,858,263,252,107,1294,2617,2311,6,5477,61,493,16100,685
1998,1056,276,319,90,1164,2852,2548,16,5820,138,493,18713,793
1997,1234,263,303,122,1168,3106,2695,19,6223,202,421,19885,854
1996,1189,261,409,138,1262,3123,2709,25,6254,222,392,20901,733
1995,1236,243,371,166,1107,3110,3115,23,6306,238,390,22722,793
1994,1151,350,312,161,1019,2863,2537,14,5239,362,318,22586,829
1993,1074,246,304,157,1151,2980,3120,10,5930,444,341,25521,869
1992,1173,280,260,140,1256,2726,3242,6,5879,521,391,27487,823
1991,1307,287,244,203,1266,2458,3204,10,5899,1197,394,26032,1023
1990,1123,252,254,143,1302,2757,2834,12,5792,1173,336,25570,704
